,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
1537,60960.208,65888.656,60531.169,58213.625,57586.568,60622.844,61055.55,61359.911,63549.11,61755.947,61788.95,63637.118,65118.586,72316.907,72118.889,74385.095,72126.223,68807.588,67725.823,..,..,..
1538,..,..,44172.682,43285.268,42383.186,33586.053,31565.536,29966.724,31594.872,29299.33,30546.11,29438.676,30007.061,31162.166,32262.266,34491.802,39317.574,42236.506,47139.285,..,..,..
1539,304.361,344.698,319.029,337.364,341.031,333.697,330.03,315.362,300.694,293.36,300.694,216.353,220.02,165.015,161.348,165.015,198.018,183.35,179.683,..,..,..
1540,108469.86,117578.688,114373.73,108924.568,113306.633,112976.603,119624.874,116295.238,119184.834,115844.197,115712.185,114766.099,107531.108,114835.772,111282.449,107116.737,106816.043,102529.32,104879.867,..,..,..
1541,715.065,828.742,905.749,1133.103,1265.115,1327.454,1265.115,1217.444,1213.777,1562.142,1617.147,1738.158,2053.52,2321.211,2398.218,2566.9,3729.339,3879.686,4066.703,..,..,..
1542,586.72,627.057,630.724,627.057,645.392,627.057,707.731,806.74,861.745,931.418,1041.428,997.424,1004.758,1078.098,1103.767,1125.769,1360.457,1646.483,1855.502,..,..,..
1543,15533.412,15940.449,17748.28,17407.249,18969.391,22816.074,24029.851,25063.945,24040.852,25232.627,27865.533,32449.283,33699.73,33824.408,39735.612,37652.756,46644.24,46930.266,46526.896,..,..,..
1544,77729.399,59706.094,53600.539,69328.302,55848.41,59805.103,56691.82,53681.213,50993.302,43981.998,43530.957,46453.556,44634.724,47307.967,46787.253,47909.355,48943.449,52812.134,50538.594,..,..,..
1545,11884.747,11503.379,10590.296,15141.043,15254.72,16021.123,15621.42,17319.241,18404.673,18019.638,18643.028,13927.266,15698.427,16468.497,17275.237,18595.357,20186.835,21481.286,22478.71,..,..,..
1546,1950.844,1782.162,1793.163,1716.156,1719.823,1730.824,1730.824,1741.825,1793.163,1796.83,1796.83,1796.83,2082.856,1870.17,2009.516,2108.525,2137.861,2148.862,2156.196,..,..,..
1547,..,..,3938.358,3270.964,3630.33,3542.322,5368.488,12500.803,16226.475,18771.373,23252.447,20722.217,22944.419,23263.448,24634.906,25632.33,27469.497,28987.635,31275.843,..,..,..
1548,..,..,87487.286,74451.101,65914.325,62118.98,60157.135,59519.077,57597.569,55819.074,53468.527,52595.781,52390.429,53721.55,58220.959,59042.367,61807.285,60256.144,62815.71,..,..,..
1549,311.695,359.366,355.699,377.701,374.034,377.701,308.028,388.702,370.367,601.388,689.396,711.398,359.366,374.034,381.368,396.036,407.037,425.372,425.372,..,..,..
1550,597.721,509.713,407.037,480.377,473.043,465.709,476.71,476.71,462.042,495.045,495.045,495.045,524.381,509.713,671.061,443.707,520.714,517.047,388.702,..,..,..
1551,5504.167,5779.192,6648.271,8038.064,8907.143,9424.19,8734.794,9842.228,10326.272,9768.888,9519.532,8830.136,8346.092,11521.714,10626.966,10293.269,10465.618,13054.52,12834.5,..,..,..
1552,208886.988,219330.604,220705.729,230738.641,242154.012,275564.049,301244.05,321199.864,314012.544,322068.943,330125.342,339894.23,335185.802,324753.187,341166.679,349967.479,352541.713,368368.485,393219.744,..,..,..
1553,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1349.456,1353.123,..,..,..
1554,6420.917,5815.862,5808.528,5588.508,5408.825,5515.168,5595.842,5812.195,5984.544,4598.418,6527.26,6197.23,5320.817,5357.487,5361.154,5126.466,4822.105,9559.869,10593.963,..,..,..
1555,128.345,187.017,216.353,187.017,212.686,249.356,304.361,396.036,385.035,385.035,399.703,414.371,513.38,465.709,469.376,682.062,421.705,579.386,733.4,..,..,..
1556,2178.198,2148.862,3296.633,3509.319,3509.319,3523.987,3138.952,3212.292,3832.015,3545.989,4275.722,4334.394,4484.741,4264.721,4378.398,4525.078,4459.072,4638.755,4840.44,..,..,..
